Wed Sep 04 07:16:13 2013    prof

         117823 function calls (114591 primitive calls) in 2.380 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.380    2.380 profile:0(<code object <module> at 02860DA0, file "zernike_js.py", line 1>)
        1    0.008    0.008    2.380    2.380 zernike_js.py:1(<module>)
        1    0.008    0.008    1.658    1.658 zernike_js.py:10(get_zernike)
        1    0.103    0.103    1.615    1.615 zern.py:200(fit_zernike)
        1    0.019    0.019    1.022    1.022 zern.py:153(calc_zern_basis)
        2    0.000    0.000    0.601    0.301 index_tricks.py:237(__getitem__)
        9    0.601    0.067    0.601    0.067 :0(concatenate)
        1    0.002    0.002    0.580    0.580 zern.py:14(<module>)
        1    0.007    0.007    0.564    0.564 im.py:14(<module>)
        1    0.002    0.002    0.436    0.436 linalg.py:1508(pinv)
       15    0.000    0.000    0.398    0.027 zern.py:94(zernikel)
       15    0.128    0.009    0.398    0.027 zern.py:51(zernike)
        1    0.002    0.002    0.395    0.395 linalg.py:1196(svd)
        2    0.369    0.184    0.369    0.184 :0(dgesdd)
       15    0.259    0.017    0.270    0.018 zern.py:33(zernike_rad)
      238    0.002    0.000    0.264    0.001 re.py:226(_compile)
      101    0.000    0.000    0.262    0.003 re.py:188(compile)
       99    0.001    0.000    0.261    0.003 sre_compile.py:496(compile)
        1    0.007    0.007    0.226    0.226 figure.py:13(<module>)
        2    0.004    0.002    0.219    0.110 __init__.py:3(<module>)
        1    0.004    0.004    0.203    0.203 core.py:18(<module>)
        1    0.002    0.002    0.153    0.153 colorbar.py:20(<module>)
        6    0.008    0.001    0.147    0.025 __init__.py:1(<module>)
       99    0.001    0.000    0.134    0.001 sre_parse.py:676(parse)
   350/99    0.008    0.000    0.131    0.001 sre_parse.py:302(_parse_sub)
  473/105    0.039    0.000    0.129    0.001 sre_parse.py:380(_parse)
        1    0.005    0.005    0.127    0.127 __init__.py:106(<module>)
       99    0.001    0.000    0.124    0.001 sre_compile.py:481(_code)
        1    0.002    0.002    0.107    0.107 collections.py:10(<module>)
        2    0.004    0.002    0.105    0.052 __init__.py:99(<module>)
   968/99    0.036    0.000    0.098    0.001 sre_compile.py:33(_compile)
        1    0.002    0.002    0.094    0.094 convenience.py:52(<module>)
        1    0.003    0.003    0.093    0.093 backend_bases.py:28(<module>)
        1    0.002    0.002    0.077    0.077 base.py:1(<module>)
        1    0.001    0.001    0.076    0.076 rcsetup.py:14(<module>)
        1    0.001    0.001    0.073    0.073 inspect.py:25(<module>)
        1    0.003    0.003    0.070    0.070 widgets.py:10(<module>)
        1    0.001    0.001    0.069    0.069 card.py:1(<module>)
        1    0.002    0.002    0.068    0.068 fontconfig_pattern.py:7(<module>)
        1    0.001    0.001    0.067    0.067 add_newdocs.py:9(<module>)
        1    0.001    0.001    0.065    0.065 tokenize.py:23(<module>)
        1    0.000    0.000    0.065    0.065 card.py:303(Card)
       27    0.000    0.000    0.062    0.002 :0(map)
       11    0.000    0.000    0.057    0.005 artist.py:1237(kwdoc)
        1    0.002    0.002    0.056    0.056 pyparsing_py2.py:59(<module>)
        1    0.001    0.001    0.051    0.051 lines.py:4(<module>)
       29    0.005    0.000    0.051    0.002 :0(reduce)
        1    0.000    0.000    0.048    0.048 zern.py:310(calc_zernike)
        3    0.009    0.003    0.046    0.015 __init__.py:2(<module>)
       15    0.046    0.003    0.046    0.003 zern.py:351(<lambda>)
        1    0.003    0.003    0.045    0.045 contour.py:4(<module>)
        2    0.043    0.021    0.043    0.021 :0(dot)
        1    0.004    0.004    0.042    0.042 axes.py:1(<module>)
        1    0.001    0.001    0.037    0.037 type_check.py:3(<module>)
        1    0.001    0.001    0.037    0.037 font_manager.py:21(<module>)
     4210    0.010    0.000    0.036    0.000 sre_parse.py:202(get)
        1    0.003    0.003    0.036    0.036 __init__.py:15(<module>)
     5174    0.021    0.000    0.032    0.000 sre_parse.py:183(__next)
      363    0.005    0.000    0.031    0.000 sre_compile.py:179(_compile_charset)
        1    0.000    0.000    0.030    0.030 font_manager.py:933(pickle_load)
    14351    0.030    0.000    0.030    0.000 :0(append)
        1    0.026    0.026    0.030    0.030 :0(load)
       11    0.002    0.000    0.029    0.003 artist.py:950(pprint_setters)
17992/17464    0.027    0.000    0.028    0.000 :0(len)
       11    0.000    0.000    0.028    0.003 artist.py:799(__init__)
       11    0.013    0.001    0.027    0.002 artist.py:817(get_aliases)
       14    0.000    0.000    0.025    0.002 pyparsing_py2.py:1809(__init__)
        1    0.002    0.002    0.025    0.025 ticker.py:123(<module>)
       99    0.004    0.000    0.025    0.000 sre_compile.py:362(_compile_info)
      363    0.014    0.000    0.024    0.000 sre_compile.py:208(_optimize_charset)
        1    0.001    0.001    0.023    0.023 decimal.py:116(<module>)
        9    0.000    0.000    0.019    0.002 pyparsing_py2.py:1685(__init__)
        1    0.004    0.004    0.018    0.018 urllib.py:23(<module>)
 1373/524    0.014    0.000    0.018    0.000 sre_parse.py:141(getwidth)
        3    0.002    0.001    0.017    0.006 __init__.py:6(<module>)
        1    0.004    0.004    0.015    0.015 Image.py:27(<module>)
