0.001363127243822406
unwrapped_00001.dat
4.70596729480008

         60867 function calls (57660 primitive calls) in 4.920 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    2.035    0.041    2.071    0.041 zern1.py:6(zernike_rad)
        2    1.416    0.708    1.416    0.708 {built-in method concatenate}
       50    0.373    0.007    2.443    0.049 zern1.py:23(zernike)
        1    0.304    0.304    4.672    4.672 zern1.py:163(fit_zernike)
        2    0.219    0.110    0.219    0.110 {built-in method dgelsd}
       50    0.143    0.003    0.143    0.003 zern1.py:319(<lambda>)
        2    0.117    0.059    0.117    0.059 {built-in method _fastCopyAndTranspose}
    430/1    0.037    0.000    4.921    4.921 {built-in method exec}
      717    0.033    0.000    0.033    0.000 {built-in method stat}
      145    0.033    0.000    0.033    0.000 {built-in method loads}
      464    0.014    0.000    0.036    0.000 common.py:93(factorial)
        1    0.013    0.013    3.876    3.876 zern1.py:115(calc_zern_basis)
    17/16    0.010    0.001    0.014    0.001 {built-in method load_dynamic}
      145    0.010    0.000    0.016    0.000 <frozen importlib._bootstrap>:1031(get_data)
      464    0.008    0.000    0.008    0.000 {built-in method where}
      285    0.007    0.000    0.011    0.000 {built-in method __build_class__}
        1    0.007    0.007    0.151    0.151 {built-in method reduce}
        6    0.007    0.001    0.008    0.001 {method 'sub' of '_sre.SRE_Pattern' objects}
      145    0.006    0.000    0.006    0.000 {method 'read' of '_io.FileIO' objects}
        2    0.006    0.003    0.007    0.004 pilutil.py:34(bytescale)
      350    0.005    0.000    0.042    0.000 <frozen importlib._bootstrap>:1352(find_loader)
      338    0.005    0.000    0.005    0.000 {built-in method OpenKey}
     1369    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:74(_path_join)
        2    0.005    0.002    0.005    0.002 {method 'close' of '_io.BufferedWriter' objects}
      525    0.003    0.000    0.003    0.000 {built-in method array}
      181    0.003    0.000    0.059    0.000 <frozen importlib._bootstrap>:1473(_find_module)
        1    0.003    0.003    0.003    0.003 zern1.py:70(mk_rad_mask)
 1284/541    0.002    0.000    0.211    0.000 <frozen importlib._bootstrap>:1596(_handle_fromlist)
      145    0.002    0.000    0.064    0.000 <frozen importlib._bootstrap>:935(get_code)
     4592    0.002    0.000    0.002    0.000 {built-in method hasattr}
     1563    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      617    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:86(_path_split)
      145    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:804(_bytes_from_bytecode)
        1    0.002    0.002    0.340    0.340 linalg.py:1727(lstsq)
       21    0.002    0.000    0.002    0.000 {built-in method listdir}
        9    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      410    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:266(_get_module_lock)
    145/9    0.002    0.000    0.232    0.026 <frozen importlib._bootstrap>:850(_load_module)
      410    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:201(acquire)
        1    0.002    0.002    4.706    4.706 zernike_js.py:11(get_zernike)
    185/9    0.001    0.000    0.237    0.026 <frozen importlib._bootstrap>:1509(_find_and_load_unlocked)
      616    0.001    0.000    0.001    0.000 _binary.py:24(o8)
       20    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:1244(_path_hooks)
      169    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap>:1278(_get_loader)
      410    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:226(release)
     7500    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      290    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:415(cache_from_source)
        1    0.001    0.001    0.001    0.001 {method 'tofile' of 'numpy.ndarray' objects}
    742/9    0.001    0.000    0.233    0.026 <frozen importlib._bootstrap>:581(_check_name_wrapper)
      631    0.001    0.000    0.001    0.000 sre_parse.py:185(__next)
      275    0.001    0.000    0.012    0.000 function_base.py:2940(add_newdoc)
      290    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:796(is_package)
     1500    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:486(_verbose_message)
     1853    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      169    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:761(_search_registry)
    29/15    0.001    0.000    0.003    0.000 sre_parse.py:431(_parse)
