0.0013487569264929529
unwrapped_00001.dat
4.647349538671755

         60725 function calls (57537 primitive calls) in 4.874 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    429/1    0.036    0.000    4.875    4.875 {built-in method exec}
        1    0.001    0.001    4.875    4.875 zern2.py:1(<module>)
        1    0.002    0.002    4.647    4.647 zern2.py:328(get_zernike)
        1    0.311    0.311    4.618    4.618 zern2.py:169(fit_zernike)
        1    0.013    0.013    3.847    3.847 zern2.py:121(calc_zern_basis)
        1    0.000    0.000    2.426    2.426 zern2.py:153(<listcomp>)
       50    0.000    0.000    2.426    0.049 zern2.py:72(zernikel)
       50    0.372    0.007    2.425    0.048 zern2.py:29(zernike)
       50    2.015    0.040    2.053    0.041 zern2.py:12(zernike_rad)
        2    0.000    0.000    1.405    0.702 index_tricks.py:240(__getitem__)
        2    1.405    0.702    1.405    0.702 {built-in method concatenate}
        1    0.002    0.002    0.307    0.307 linalg.py:1727(lstsq)
    184/9    0.001    0.000    0.248    0.028 <frozen importlib._bootstrap>:1559(_find_and_load)
    184/9    0.001    0.000    0.248    0.028 <frozen importlib._bootstrap>:1509(_find_and_load_unlocked)
   230/10    0.000    0.000    0.245    0.024 <frozen importlib._bootstrap>:305(_call_with_frames_removed)
   737/10    0.001    0.000    0.242    0.024 <frozen importlib._bootstrap>:581(_check_name_wrapper)
   144/10    0.000    0.000    0.242    0.024 <frozen importlib._bootstrap>:1019(load_module)
   144/10    0.000    0.000    0.242    0.024 <frozen importlib._bootstrap>:997(load_module)
   144/10    0.001    0.000    0.242    0.024 <frozen importlib._bootstrap>:536(module_for_loader_wrapper)
   144/10    0.002    0.000    0.242    0.024 <frozen importlib._bootstrap>:850(_load_module)
    59/18    0.001    0.000    0.224    0.012 {built-in method __import__}
 1283/540    0.002    0.000    0.221    0.000 <frozen importlib._bootstrap>:1596(_handle_fromlist)
        2    0.188    0.094    0.188    0.094 {built-in method dgelsd}
        1    0.000    0.000    0.185    0.185 __init__.py:106(<module>)
        4    0.001    0.000    0.160    0.040 __init__.py:1(<module>)
        1    0.000    0.000    0.152    0.152 zern2.py:284(calc_zernike)
        1    0.007    0.007    0.152    0.152 {built-in method reduce}
       50    0.145    0.003    0.145    0.003 zern2.py:325(<lambda>)
        1    0.000    0.000    0.116    0.116 linalg.py:180(_fastCopyAndTranspose)
        2    0.116    0.058    0.116    0.058 {built-in method _fastCopyAndTranspose}
        1    0.000    0.000    0.109    0.109 add_newdocs.py:10(<module>)
      180    0.002    0.000    0.074    0.000 <frozen importlib._bootstrap>:1473(_find_module)
      168    0.000    0.000    0.062    0.000 <frozen importlib._bootstrap>:1305(find_module)
      168    0.001    0.000    0.062    0.000 <frozen importlib._bootstrap>:1278(_get_loader)
      144    0.002    0.000    0.061    0.000 <frozen importlib._bootstrap>:935(get_code)
        1    0.000    0.000    0.058    0.058 type_check.py:3(<module>)
      349    0.005    0.000    0.058    0.000 <frozen importlib._bootstrap>:1352(find_loader)
      714    0.049    0.000    0.049    0.000 {built-in method stat}
